id,name,adm1_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
63,Argentina,ARG,1661.605508,1563.12609,1502.224881,1589.541099,1717.957226,1710.823374,1841.985806,1846.936756,1924.372627,1852.323145,1909.725704,1918.506379,1906.629811,1894.617872
64,Romania,ROU,1614.209768,1663.739288,1755.130026,1832.278607,1803.463242,1810.327263,1884.545121,1904.096886,1928.966361,1712.526096,1730.087676,1777.106154,1741.722606,1592.131494
65,Thailand,THA,1152.999055,1173.03406,1282.580235,1374.806575,1472.302695,1503.180532,1525.605035,1585.965952,1626.729752,1618.395537,1766.929356,1759.276249,1878.925894,1987.575903
66,China,CHN,919.3210198,932.5585022,978.6189831,1107.312837,1264.547148,1361.692317,1478.155483,1550.530271,1576.181107,1692.679892,1845.737283,1994.399592,2079.119715,2226.269871
67,Mexico,MEX,1408.555297,1424.27817,1412.869399,1467.264938,1485.561136,1537.092617,1534.152863,1551.289784,1572.878889,1500.42484,1486.027151,1525.352699,1545.498334,1545.775453
68,Azerbaijan,AZE,1403.433268,1410.965455,1414.528111,1476.590884,1539.230121,1599.960676,1559.568746,1411.55734,1520.313919,1334.166178,1279.552594,1369.350999,1472.897391,1474.003433
69,Bosnia_and_Herz,BIH,1145.89238,1105.36991,1156.996723,1152.383627,1257.009644,1314.761632,1380.757972,1381.122055,1552.585338,1620.089678,1689.932463,1864.554799,1745.897458,1687.968693
70,Lebanon,LBN,1517.229197,1566.267793,1484.228927,1413.917844,1368.810782,1264.984894,1182.124361,1034.922184,1322.13402,1590.248992,1471.095345,1382.390784,1456.572636,1337.171056
71,Macedonia,MKD,1325.864006,1274.568717,1245.776865,1371.531298,1347.308535,1370.941909,1432.301095,1474.711506,1469.663781,1367.357644,1396.127311,1511.246011,1431.804936,1349.475017
72,Turkey,TUR,1201.086613,1094.347395,1139.69491,1178.902004,1205.33882,1240.948399,1355.834165,1438.535269,1403.255104,1372.286562,1455.833956,1526.345416,1561.835094,1528.20253
73,Jamaica,JAM,1480.770946,1475.759492,1371.656585,1421.242849,1431.593553,1407.003931,1574.768888,1578.428916,1325.242689,1133.764777,1000.794552,1063.548628,1037.944017,1083.624191
74,Mongolia,MNG,999.6454549,997.9402652,1058.164856,1022.820564,1041.600227,1185.671023,1332.077512,1376.988602,1358.620068,1395.041602,1452.968436,1564.482866,1679.675424,1826.456872
75,Gabon,GAB,1194.130476,1252.477914,1229.364594,1213.474315,1216.34123,1250.756835,1263.524544,1281.681891,1289.600411,1324.567409,1370.617198,1380.061345,1401.148691,1434.913543
